fahrzeug_id,marke,modell,ps,treibstoff,preis,year
345WBA11CH090CK4,BMW,5er-Reihe,184,Hybrid,64121,20230720
2714WBA35BG040N0,BMW,X3,190,Diesel,64119,20220215
1640WBA61DP0609M,BMW,X3,183,Hybrid,63965,20221020
992WBATS110X09H8,BMW,X3,184,Hybrid,63800,20230331
893WBA15BZ080N14,BMW,X3,190,Diesel,63800,20230414
2323WBA31DZ070FM,BMW,3er-Reihe,190,Diesel,63800,20220511
70WBA6K71050FM83,BMW,3er-Reihe,258,Benzin,63734,20230915
339WBA11BZ0309K4,BMW,X3,190,Diesel,63690,20230720
24WBA51BL020WX86,BMW,5er-Reihe,190,Diesel,63690,20230929
1655WBA35BG050N1,BMW,X3,190,Diesel,63250,20221017
2062WBA11BJ060CG,BMW,5er-Reihe,254,Benzin,63250,20220707
2839WBA11AH050CG,BMW,5er-Reihe,286,Diesel,63250,20220113
1339WBA51BN05NCH,BMW,5er-Reihe,190,Diesel,62964,20230118
1180WBA11EG0905W,BMW,X1,150,Diesel,62920,20230301
2628WBA35BG040N1,BMW,X3,190,Diesel,62700,20220303
352WBA31AJ080CH2,BMW,5er-Reihe,285,Diesel,62689,20230719
41WBATS31040LF50,BMW,X3,354,Benzin,62667,20230921
419WBA11EG0205V7,BMW,X1,150,Diesel,62615,20230704
777WBA6N71020FM3,BMW,3er-Reihe,184,Hybrid,62590,20230505
181WBA11AJ09MCF5,BMW,5er-Reihe,285,Diesel,62590,20230825
1722WBA35BG000N1,BMW,X3,190,Diesel,62590,20220929
1598WBA51BN01NCH,BMW,5er-Reihe,190,Diesel,62590,20221108
1093WBA31CG040CM,BMW,5er-Reihe,184,Elektro,62370,20230314
1767WBA35BG050N1,BMW,X3,190,Diesel,62150,20220920
1567WBA6N71010FM,BMW,3er-Reihe,184,Hybrid,61919,20221116
1356WBA15BZ080N1,BMW,X3,190,Diesel,61710,20230112
1274WBATX95050ND,BMW,X3,326,Diesel,61600,20230209
1516WBATS31010LF,BMW,X3,360,Benzin,61600,20221202
1405WBA51BN03MCH,BMW,5er-Reihe,190,Diesel,61600,20221229
252WBA51BL050WY0,BMW,5er-Reihe,190,Diesel,61600,20230810
382WBA6N51000FL3,BMW,3er-Reihe,285,Diesel,61578,20230712
147WBA6N71080FL1,BMW,3er-Reihe,183,Benzin,61511,20230901
1029WBA51BN070CG,BMW,5er-Reihe,190,Diesel,61490,20230324
349WBA51BN08NCH8,BMW,5er-Reihe,190,Diesel,61479,20230719
932WBA5Y1101MFL3,BMW,3er-Reihe,286,Diesel,61270,20230407
1531WBA51BH030CL,BMW,5er-Reihe,245,Benzin,61205,20221130
962WBA11EG0905W0,BMW,X1,150,Diesel,61050,20230405
1956WBA15BZ0X0N1,BMW,X3,190,Diesel,60752,20220801
322WBA61DP0809P7,BMW,X3,184,Hybrid,60589,20230727
1848WBAUZ9501MN0,BMW,X3,285,Diesel,60500,20220831
1249WBA51BN0XNCH,BMW,5er-Reihe,190,Diesel,60500,20230214
2794WBA6N71060FL,BMW,3er-Reihe,184,Hybrid,60500,20220125
1443WBA51BN04NCH,BMW,5er-Reihe,190,Diesel,60489,20221220
1746WBA35BG0X0N0,BMW,X3,190,Diesel,60489,20220923
1174WBA6N71020FM,BMW,3er-Reihe,184,Hybrid,60489,20230301
1978WBAUZ9507MN0,BMW,X3,285,Diesel,60403,20220729
2234WBA31DZ020FL,BMW,3er-Reihe,190,Diesel,60390,20220527
950WBA51BN08NCH8,BMW,5er-Reihe,190,Diesel,60378,20230406
691WBA51BN03MCH5,BMW,5er-Reihe,190,Diesel,60378,20230519
1857WBA51BN00MCH,BMW,5er-Reihe,190,Diesel,60378,20220830
919WBA51BN09MCH4,BMW,5er-Reihe,190,Diesel,60378,20230412
699WBA51BN07MCH5,BMW,5er-Reihe,190,Diesel,60378,20230517
1067WBA51BN08MCH,BMW,5er-Reihe,190,Diesel,60378,20230317
1248WBA51BN0XNCH,BMW,5er-Reihe,190,Diesel,60378,20230214
826WBA51BN03NCH9,BMW,5er-Reihe,190,Diesel,60378,20230428
348WBA51BN08NCH8,BMW,5er-Reihe,190,Diesel,60378,20230719
2326WBAUZ9509MN0,BMW,X3,285,Diesel,60377,20220511
2560WBA31DZ010FK,BMW,3er-Reihe,190,Diesel,60005,20220316
355WBA6L31060FM7,BMW,3er-Reihe,150,Diesel,59950,20230719
639WBA35BG04MN11,BMW,X3,190,Diesel,59950,20230530
568WBA11CH000CJ4,BMW,5er-Reihe,184,Hybrid,59886,20230609
